PID-5,1,1,31,8,1,5.875,267,249028,24,132,0.0097,0,60,31,8,300,1,1.000614047,-1.000576019,0.000267029,3.470319986,198.3493042,99.89399719,3.470319986,0.0108968,1.128638029,0.119864799,2.486176014,2.473937988
PID-6,1,1,31,9,2,5.884,267,249028,24,132,0.0097,0,60,31,9,300,2,1.000614047,-1.000576019,0.000267029,3.430310965,199.2696075,100.5332031,3.430310965,0.0101848,1.128165007,0.112032801,2.492156982,2.481353998
PID-7,1,1,30,9,3,5.974,267,249028,24,132,0.0097,0,60,30,9,300,3,1.000614047,-1.000576019,0.000267029,3.641805887,202.0644073,101.3399963,3.641805887,0.0087367,1.129961014,0.096103698,2.493407965,2.484679937
PID-8,2,2,33,8,0,4.795,267,249028,24,132,0.0097,0,60,33,8,300,0,1.000614047,-1.000576019,0.000267029,3.496779919,200.258194,100.4637985,3.496779919,0.0087866,1.136301041,0.096652597,2.492553949,2.48370409
PID-9,1,1,34,9,2,4.831,267,249028,24,132,0.0097,0,60,34,9,300,2,1.000614047,-1.000576019,0.000267029,3.430095911,199.3177948,100.6981964,3.430095911,0.0098236,1.130010962,0.1080596,2.496306896,2.489258051
PID-10,1,1,36,9,2,3.473,267,249028,24,132,0.0097,0,60,36,9,300,2,1.000614047,-1.000576019,0.000267029,3.430285931,200.9821014,101.1337967,3.430285931,0.010147,1.126785994,0.111616999,2.496428967,2.484344006
PID-11,1,1,38,9,2,3.468,267,249028,24,132,0.0097,0,60,38,9,300,2,1.000614047,-1.000576019,0.000267029,3.430214882,197.3582001,99.7796936,3.430214882,0.0113554,1.121253967,0.124909401,2.488892078,2.477570057
PID-12,1,1,42,11,2,4.777,267,249028,24,132,0.0097,0,60,42,11,300,2,1.000614047,-1.000576019,0.000267029,3.431816101,204.0370941,102.311203,3.431816101,0.0097204,1.127416015,0.1069244,2.477752924,2.461121082
PID-13,1,1,41,11,3,4.795,267,249028,24,132,0.0097,0,60,41,11,300,3,1.000614047,-1.000576019,0.000267029,3.642152071,205.0435944,102.6917038,3.642152071,0.0093707,1.126124978,0.103077702,2.486694098,2.472748041
PID-14,1,1,39,10,0,7.424,267,249028,24,132,0.0097,0,60,39,10,300,0,1.000614047,-1.000576019,0.000267029,3.496376991,201.2507935,101.0469971,3.496376991,0.0100395,1.125321984,0.110434502,2.489043951,2.477539063
PID-15,1,1,40,10,1,7.429,267,249028,24,132,0.0097,0,60,40,10,300,1,1.000614047,-1.000576019,0.000267029,3.470088959,202.957901,102.209198,3.470088959,0.0090273,1.129487991,0.099300303,2.487579107,2.475615978
PID-16,1,1,40,11,2,7.581,267,249028,24,132,0.0097,0,60,40,11,300,2,1.000614047,-1.000576019,0.000267029,3.431843042,201.2483978,101.364502,3.431843042,0.0104756,1.125810981,0.115231603,2.488739014,2.474639893
PID-17,1,1,39,11,3,7.595,267,249028,24,132,0.0097,0,60,39,11,300,3,1.000614047,-1.000576019,0.000267029,3.641233921,199.3088074,100.6994019,3.641233921,0.0090039,1.131152987,0.0990429,2.488189936,2.472503901
PID-18,1,1,37,10,0,8.447,268,249028,24,132,0.0097,0,60,37,10,300,0,1.000614047,-1.000576019,0.000267029,3.496175051,201.1269073,101.2725983,3.496175051,0.0108883,1.123252034,0.119771302,2.485198975,2.471221924
PID-19,1,1,38,10,1,8.452,268,249028,24,132,0.0097,0,60,38,10,300,1,1.000614047,-1.000576019,0.000267029,3.46967411,200.7348938,101.0274963,3.46967411,0.0106393,1.126029015,0.117032297,2.492522955,2.484558105
PID-20,1,1,38,11,2,8.605,268,249028,24,132,0.0097,0,60,38,11,300,2,1.000614047,-1.000576019,0.000267029,3.431787968,198.5256958,100.3133011,3.431787968,0.0114293,1.122290969,0.125722304,2.500823975,2.489409924
PID-21,1,1,37,11,3,8.621,268,249028,24,132,0.0097,0,60,37,11,300,3,1.000614047,-1.000576019,0.000267029,3.642404079,204.2201996,102.2169037,3.642404079,0.0109969,1.124390006,0.120965898,2.483916998,2.471343994
PID-22,1,1,35,10,0,6.025,267,249028,24,132,0.0097,0,60,35,10,300,0,1.000614047,-1.000576019,0.000267029,3.496951103,204.326004,102.3103027,3.496951103,0.0106181,1.122172952,0.116799101,2.489348888,2.479645014
PID-23,1,1,36,10,1,6.103,267,249028,24,132,0.0097,0,60,36,10,300,1,1.000614047,-1.000576019,0.000267029,3.470809937,206.2480011,102.8889008,3.470809937,0.0110403,1.116902947,0.121443301,2.489043951,2.480712891
PID-24,1,1,35,11,3,6.126,267,249028,24,132,0.0097,0,60,35,11,300,3,1.000614047,-1.000576019,0.000267029,3.642538071,202.1362,101.8391037,3.642538071,0.0100483,1.128476024,0.1105313,2.498047113,2.489288092
PID-25,1,1,34,10,1,5.971,267,249028,24,132,0.0097,0,60,34,10,300,1,1.000614047,-1.000576019,0.000267029,3.470171928,200.6109924,101.2472,3.470171928,0.0112452,1.11797297,0.123697199,2.4906919,2.480225086
PID-26,1,1,34,11,2,5.973,267,249028,24,132,0.0097,0,60,34,11,300,2,1.000614047,-1.000576019,0.000267029,3.432357073,199.7077942,100.9497986,3.432357073,0.0091599,1.128167033,0.100758903,2.497009039,2.489655018
PID-27,1,1,33,11,3,6.07,267,249028,24,132,0.0097,0,60,33,11,300,3,1.000614047,-1.000576019,0.000267029,3.642086029,198.4606934,100.5155029,3.642086029,0.010234,1.125319004,0.112574004,2.488189936,2.479888916
PID-28,1,1,31,10,0,5.897,267,249028,24,132,0.0097,0,60,31,10,300,0,1.000614047,-1.000576019,0.000267029,3.496032,198.2709045,100.302803,3.496032,0.0110398,1.120944023,0.121437803,2.494628906,2.48446703
PID-29,1,1,32,11,2,5.907,267,249028,24,132,0.0097,0,60,32,11,300,2,1.000614047,-1.000576019,0.000267029,3.432157993,198.0484009,100.2286987,3.432157993,0.0087238,1.132259011,0.095961802,2.495513916,2.48526001
PID-30,1,1,31,11,3,5.997,267,249028,24,132,0.0097,0,60,31,11,300,3,1.000614047,-1.000576019,0.000267029,3.642426968,197.6000061,100.2998962,3.642426968,0.0116459,1.119940996,0.128104895,2.489409924,2.478912115
PID-31,1,1,32,9,0,7.428,267,249028,24,132,0.0097,0,60,32,9,300,0,1.000614047,-1.000576019,0.000267029,3.496982098,202.6766968,101.5112991,3.496982098,0.0086013,1.133247972,0.094614297,2.481049061,2.467529058
PID-32,1,1,33,9,1,7.498,267,249028,24,132,0.0097,0,60,33,9,300,1,1.000614047,-1.000576019,0.000267029,3.470395088,202.2283936,101.417099,3.470395088,0.0106921,1.124554038,0.1176131,2.492003918,2.4841609
PID-33,1,1,33,10,2,7.587,267,249028,24,132,0.0097,0,60,33,10,300,2,1.000614047,-1.000576019,0.000267029,3.432816029,199.3668976,100.7832031,3.432816029,0.0106455,1.124874949,0.1171005,2.499725103,2.49270606
PID-34,1,1,32,10,3,7.601,267,249028,24,132,0.0097,0,60,32,10,300,3,1.000614047,-1.000576019,0.000267029,3.643340111,199.7429047,100.7838974,3.643340111,0.0087683,1.134634018,0.096451297,2.49258399,2.481445074
PID-35,1,1,29,10,0,7.515,267,249028,24,132,0.0097,0,60,29,10,300,0,1.000614047,-1.000576019,0.000267029,3.496664047,199.3500061,100.9106979,3.496664047,0.0088471,1.128527999,0.097318098,2.487488031,2.47540307
PID-36,1,1,30,10,1,7.562,267,249028,24,132,0.0097,0,60,30,10,300,1,1.000614047,-1.000576019,0.000267029,3.470024109,198.023407,100.2656021,3.470024109,0.0109465,1.121502042,0.1204115,2.489166021,2.477202892
PID-37,1,1,30,11,2,7.675,267,249028,24,132,0.0097,0,60,30,11,300,2,1.000614047,-1.000576019,0.000267029,3.432372093,197.0509949,100.0603027,3.432372093,0.0108786,1.122604012,0.119664602,2.47796607,2.463745117
PID-38,1,1,29,11,3,7.742,267,249028,24,132,0.0097,0,60,29,11,300,3,1.000614047,-1.000576019,0.000267029,3.643429995,198.3092041,100.6069031,3.643429995,0.0102629,1.125568986,0.112891898,2.497802973,2.487700939
PID-39,1,1,27,10,0,7.288,267,249028,24,132,0.0097,0,60,27,10,300,0,1.000614047,-1.000576019,0.000267029,3.496715069,199.4734039,100.6339035,3.496715069,0.0104408,1.123723984,0.1148488,2.480591059,2.468993902
PID-40,1,1,28,10,1,7.362,267,249028,24,132,0.0097,0,60,28,10,300,1,1.000614047,-1.000576019,0.000267029,3.470343113,197.7640991,100.5050964,3.470343113,0.0096256,1.129016995,0.105881602,2.481537104,2.467345953
PID-41,1,1,28,11,2,7.447,267,249028,24,132,0.0097,0,60,28,11,300,2,1.000614047,-1.000576019,0.000267029,3.433017969,199.8757019,100.7210007,3.433017969,0.0086126,1.132012963,0.094738603,2.488922119,2.474121094
PID-42,1,1,27,11,3,7.463,267,249028,24,132,0.0097,0,60,27,11,300,3,1.000614047,-1.000576019,0.000267029,3.644203901,201.5260925,101.3238983,3.644203901,0.0086815,1.133579969,0.095496498,2.48989892,2.47973609
PID-43,1,1,25,10,0,7.235,267,249028,24,132,0.0097,0,60,25,10,300,0,1.000614047,-1.000576019,0.000267029,3.496323109,195.1443939,99.12827301,3.496323109,0.00977,1.125959039,0.107469998,2.488585949,2.475830078
PID-44,1,1,26,10,1,7.313,267,249028,24,132,0.0097,0,60,26,10,300,1,1.000614047,-1.000576019,0.000267029,3.470654964,197.8085938,100.0007019,3.470654964,0.0100515,1.124593019,0.110566497,2.494628906,2.483062983
PID-45,1,1,26,11,2,7.392,267,249028,24,132,0.0097,0,60,26,11,300,2,1.000614047,-1.000576019,0.000267029,3.43324399,200.4886017,101.0055008,3.43324399,0.0087548,1.126569986,0.0963028,2.493896008,2.483551025
PID-46,1,1,25,11,3,7.405,267,249028,24,132,0.0097,0,60,25,11,300,3,1.000614047,-1.000576019,0.000267029,3.644244909,199.239502,100.8713989,3.644244909,0.0086949,1.129328966,0.0956439,2.483306885,2.469146967
PID-47,1,1,24,10,1,5.86,267,249028,24,132,0.0097,0,60,24,10,300,1,1.000614047,-1.000576019,0.000267029,3.470225096,194.388504,98.99791718,3.470225096,0.0086955,1.12944901,0.095650502,2.489348888,2.479491949
PID-48,1,1,24,11,2,5.927,267,249028,24,132,0.0097,0,60,24,11,300,2,1.000614047,-1.000576019,0.000267029,3.432960033,197.0960999,99.86180878,3.432960033,0.0088257,1.128360987,0.097082697,2.497620106,2.487365961
PID-49,1,1,23,11,3,5.959,267,249028,24,132,0.0097,0,60,23,11,300,3,1.000614047,-1.000576019,0.000267029,3.642972946,193.6710968,98.73282623,3.642972946,0.0087178,1.128996015,0.095895797,2.483458996,2.467560053
