#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
310,PIN5 IN5,1,-4.6779900789e-001
311,PIN2 IN2,1,-4.6840301156e-001
312,PIN26 POK,1,-6.2104797363e-001
313,PIN30 EN,1,-4.9203500152e-001
314,PIN27 FB,1,-4.9194300175e-001
315,PIN29 OTP,1,-4.9132201076e-001
316,EXPOSED_PAD,1,5.0655301660e-002
401,Vfb_pre,1,5.0033301115e-001
402,Vout_pre,1,1.5012899637e+000
403,Vfb_err,1,6.6583597800e-004
406,Vfb Err Post Expected,1,6.6583597800e-004
407,Vref_post,1,5.3142197430e-004
409,Vfb_post,1,4.9425199628e-001
410,Ibias_pre,1,5.8989900253e-007
411,Ibias_err,1,-6.9520699978e-001
412,IbiasPost,1,1.0142899782e-006
414,IbiasErr2,1,1.4088200405e-002
415,Ilim8_pre,1,1.0433099747e+001
416,Ilim_err,1,3.2158300281e-001
417,Ilim8Post,1,7.1115598679e+000
418,Ilim_err2,1,4.7407299280e-003
420,Ilim8_sc,1,2.2937099934e+000
421,IlimSCerr,1,1.4914499596e-002
502,Ishdn,1,6.1603100039e-004
503,Icc1425,1,6.1103102053e-004
504,Icc18,1,6.3363998197e-004
505,Icc36,1,7.8971602488e-004
506,Ien_high,1,-1.8424799464e-009
507,Idrop_out,1,1.0786099592e-003
508,Ien_low,1,-1.3113500286e-009
509,Ifb,1,-2.9959799086e-009
511,Ipok/r,1,1.0296899688e-007
601,VO14_2mA,0,n/a 
602,VFB14_2mA,0,n/a 
603,VO36_2mA,0,n/a 
604,VFB36_2mA,0,n/a 
605,Line_Reg,0,n/a 
606,TM_CHECK,0,n/a 
607,VO18_4A,0,n/a 
609,VFB18_4A,0,n/a 
610,TM_CHECK,0,n/a 
611,VO36_4A,0,n/a 
613,VFB36_4A,0,n/a 
614,TM_CHECK,0,n/a 
615,VO14_4A,0,n/a 
617,VFB14_4A,0,n/a 
618,Load_Reg,0,n/a 
619,VO_Char,0,n/a 
620,TM_CHECK,0,n/a 
621,V_DO_TM,0,n/a 
622,I_DO_TM,0,n/a 
623,V_DO_RM,0,n/a 
624,I_DO_RM,0,n/a 
625,RATIO,0,n/a 
713,POK_LowV,0,n/a 
714,POK_del,0,n/a 

#########################################

#### RESULT packet 3 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,11 
PAT binning,11 
Tests executed,22 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6232300997e-001
302,PIN8 OUT2,1,-4.7214001417e-001
303,PIN9 OUT3,1,-4.9036300182e-001
304,PIN10 OUT4,1,-4.9238899350e-001
305,PIN11 OUT5,1,-4.9290099740e-001
306,PIN6 IN6,1,-3.5504499078e-001
307,PIN7 OUT1,1,-4.6970400214e-001
