GROUP,,,,,,,,,,,,,,"[u'580:X_Voq(0mT)', u'4325:NB_Uout@0mT']"
DISTANCE,,,,,,,,,,,,,,near

RULE,MVBIN,SBIN,HBIN,Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,1:rule5,1:rule5_zscore
PID-105,0,1,1,PID-105,1,1,44,15,3,6.932,267,249028,24,2.18215917342,1.32674260758
PID-1050,0,1,1,PID-1050,1,1,35,39,3,7.736,267,249028,24,0.58798009189,-0.999589048277
PID-1051,0,1,1,PID-1051,1,1,33,38,0,7.392,267,249028,24,0.781428153356,-0.632781714426
PID-1052,0,1,1,PID-1052,1,1,34,38,1,7.435,267,249028,24,1.46949882922,0.413984464913
PID-1053,0,1,1,PID-1053,1,1,34,39,2,7.549,267,249028,24,0.635244979514,-0.903585235799
PID-1054,0,1,1,PID-1054,1,1,33,39,3,7.56,267,249028,24,1.54573202443,0.516689687972
PID-1055,0,1,1,PID-1055,1,1,30,38,0,7.393,267,249028,24,1.39706748097,0.315047775844
PID-1056,0,1,1,PID-1056,1,1,31,38,1,7.482,267,249028,24,0.648675355181,-0.878256148296
PID-1057,0,1,1,PID-1057,1,1,31,39,2,7.545,267,249028,24,1.0551696766,-0.182997308852
PID-1058,0,1,1,PID-1058,1,1,30,39,3,7.555,267,249028,24,1.21223913536,0.0522183651878
PID-1059,0,1,1,PID-1059,1,1,28,38,0,7.39,267,249028,24,1.57954237543,0.56210873132
PID-106,0,1,1,PID-106,1,1,42,14,0,8.203,268,249028,24,0.579886857925,-1.01599779126
PID-1060,0,1,1,PID-1060,1,1,29,38,1,7.394,267,249028,24,0.32075324947,-1.64276462658
PID-1061,0,1,1,PID-1061,1,1,29,39,2,7.542,267,249028,24,0.885351350019,-0.454784050468
PID-1062,0,1,1,PID-1062,1,1,28,39,3,7.551,267,249028,24,0.887575157589,-0.451459114226
PID-1063,0,1,1,PID-1063,1,1,26,38,0,7.455,267,249028,24,1.15108196971,-0.0376552830445
PID-1064,0,1,1,PID-1064,1,1,27,38,1,7.544,267,249028,24,0.658723297959,-0.858953391674
PID-1065,0,1,1,PID-1065,1,1,27,39,2,7.608,267,249028,24,0.664659794165,-0.847445207376
PID-1066,0,1,1,PID-1066,1,1,26,39,3,7.617,267,249028,24,0.419077022425,-1.37592609831
