#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
307,PIN7 OUT1,1,-4.7391900420e-001 
308,PIN3 IN3,1,-4.6509501338e-001 
309,PIN4 IN4,1,-4.6539598703e-001 
310,PIN5 IN5,1,-4.6542298794e-001 
311,PIN2 IN2,1,-4.6544000506e-001 
312,PIN26 POK,1,-6.1847198009e-001 
313,PIN30 EN,1,-4.9276500940e-001 
314,PIN27 FB,1,-4.9272501469e-001 
315,PIN29 OTP,1,-4.8897099495e-001 
316,EXPOSED_PAD,1,4.5810099691e-002 
401,Vfb_pre,1,4.9608701468e-001 
402,Vout_pre,1,1.4871200323e+000 
403,Vfb_err,1,-7.8883199021e-003 
406,Vfb Err Post Expected,1,1.1167699995e-004 
407,Vref_post,1,5.3010298871e-004 
409,Vfb_post,1,5.0008201599e-001 
410,Ibias_pre,1,5.7966298073e-007 
411,Ibias_err,1,-7.2513997555e-001 
412,IbiasPost,1,9.9815201793e-007 
414,IbiasErr2,1,-1.8509599613e-003 
415,Ilim8_pre,1,1.1005599976e+001 
416,Ilim_err,1,3.5687398911e-001 
417,Ilim8Post,1,7.5056800842e+000 
418,Ilim_err2,1,6.0423299670e-002 
420,Ilim8_sc,1,2.2444899082e+000 
421,IlimSCerr,1,-6.8609798327e-003 
502,Ishdn,1,2.3388299724e-006 
503,Icc1425,1,6.3323101494e-004 
504,Icc18,1,6.3594098901e-004 
505,Icc36,1,6.3536001835e-004 
506,Ien_high,1,-1.5432100042e-009 
507,Idrop_out,1,8.5143599426e-004 
508,Ien_low,1,-6.3510802173e-010 
509,Ifb,1,-8.9349700971e-009 
511,Ipok/r,1,2.8826500648e-012 
601,VO14_2mA,1,1.2259800434e+000 
602,VFB14_2mA,1,5.0014501810e-001 
603,VO36_2mA,1,1.2259299755e+000 
604,VFB36_2mA,1,5.0020498037e-001 
605,Line_Reg,1,-1.7975400624e-005 
606,TM_CHECK,1,1.0088100453e-006 
607,VO18_4A,1,1.5020200014e+000 
609,VFB18_4A,1,5.0011599064e-001 
610,TM_CHECK,1,1.0146600289e-006 
611,VO36_4A,1,3.4019498825e+000 
613,VFB36_4A,1,5.0016701221e-001 
614,TM_CHECK,1,9.9474198123e-007 
615,VO14_4A,1,1.2277699709e+000 
617,VFB14_4A,1,4.9955898523e-001 
618,Load_Reg,1,-4.4896200416e-004 
619,VO_Char,1,5.0024902821e-001 
620,TM_CHECK,1,1.0076299759e-006 
621,V_DO_TM,1,5.7551700622e-002 
622,I_DO_TM,1,5.0064200163e-001 
623,V_DO_RM,1,1.7056200653e-002 
624,I_DO_RM,1,1.0006500483e+000 
625,RATIO,1,3.3742299080e+000 
713,POK_LowV,1,3.1142099760e-003 
714,POK_del,1,6.9930203608e-005 

#########################################

#### RESULT packet 3 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5456299186e-001 
302,PIN8 OUT2,1,-4.5939400792e-001 
303,PIN9 OUT3,1,-4.8565301299e-001 
304,PIN10 OUT4,1,-4.8900899291e-001 
305,PIN11 OUT5,1,-4.8991200328e-001 
306,PIN6 IN6,1,-3.6993500590e-001 
307,PIN7 OUT1,1,-4.7716799378e-001 
308,PIN3 IN3,1,-4.5947399735e-001 
309,PIN4 IN4,1,-4.5964899659e-001 
310,PIN5 IN5,1,-4.5980000496e-001 
311,PIN2 IN2,1,-4.5969399810e-001 
312,PIN26 POK,1,-6.1781001091e-001 
313,PIN30 EN,1,-4.9263998866e-001 
314,PIN27 FB,1,-4.9222499132e-001 
315,PIN29 OTP,1,-4.9220600724e-001 
316,EXPOSED_PAD,1,4.5747701079e-002 
401,Vfb_pre,1,4.9528700113e-001 
402,Vout_pre,1,1.4850599766e+000 
403,Vfb_err,1,-9.5153097063e-003 
406,Vfb Err Post Expected,1,4.8469001194e-004 
407,Vref_post,1,4.8429300659e-004 
409,Vfb_post,1,5.0028198957e-001 
410,Ibias_pre,1,6.0265597313e-007 
411,Ibias_err,1,-6.5932101011e-001 
412,IbiasPost,1,9.9925000541e-007 
414,IbiasErr2,1,-7.5046997517e-004 
415,Ilim8_pre,1,1.0480699539e+001 
416,Ilim_err,1,3.2466500998e-001 
417,Ilim8Post,1,7.2245597839e+000 
418,Ilim_err2,1,2.0705899224e-002 
420,Ilim8_sc,1,2.1282999516e+000 
421,IlimSCerr,1,-5.8274600655e-002 
502,Ishdn,1,1.7785999944e-006 
503,Icc1425,1,5.9588201111e-004 
504,Icc18,1,5.9957802296e-004 
505,Icc36,1,6.0818897327e-004 
506,Ien_high,1,-1.6061300068e-009 
507,Idrop_out,1,8.8197202422e-004 
508,Ien_low,1,-7.5309097847e-010 
509,Ifb,1,-9.0607699121e-009 
511,Ipok/r,1,2.8197799998e-012 
601,VO14_2mA,1,1.2266399860e+000 
602,VFB14_2mA,1,5.0044500828e-001 
603,VO36_2mA,1,1.2265199423e+000 
604,VFB36_2mA,1,5.0042200089e-001 
605,Line_Reg,1,-4.6892298997e-005 
606,TM_CHECK,1,1.0102700116e-006 
607,VO18_4A,1,1.5020799637e+000 
609,VFB18_4A,1,5.0065600872e-001 
610,TM_CHECK,1,1.0159200201e-006 
611,VO36_4A,1,3.4025599957e+000 
613,VFB36_4A,1,5.0043898821e-001 
614,TM_CHECK,1,9.9592102742e-007 
615,VO14_4A,1,1.2271699905e+000 
617,VFB14_4A,1,5.0060600042e-001 
618,Load_Reg,1,-1.3214000501e-004 
619,VO_Char,1,5.0051897764e-001 
620,TM_CHECK,1,1.0089099760e-006 
621,V_DO_TM,1,5.9979099780e-002 
622,I_DO_TM,1,5.0068902969e-001 
623,V_DO_RM,1,1.7470300198e-002 
