#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
7,421,IlimSCerr,-2.3340429366e-001,-2.3340429366e-001,1.5932406485e-001,1.5932406485e-001
7,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.6554107409e-007,7.6554107409e-007
7,311,PIN2 IN2,-4.8600935936e-001,-4.8600935936e-001,-4.4401794672e-001,-4.4401794672e-001
7,620,TM_CHECK,9.3902929166e-007,9.3902929166e-007,1.0837395621e-006,1.0837395621e-006
7,411,Ibias_err,-9.6545976400e-001,-9.6545976400e-001,-2.3579306901e-001,-2.3579306901e-001
7,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
7,301,PIN1 IN1,-4.8034799099e-001,-4.8034799099e-001,-4.3741807342e-001,-4.3741807342e-001
7,621,V_DO_TM,5.1908791065e-002,5.1908791065e-002,6.5270707011e-002,6.5270707011e-002
7,610,TM_CHECK,9.4545430329e-007,9.4545430329e-007,1.0909490129e-006,1.0909490129e-006
7,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
7,412,IbiasPost,9.2747700364e-007,9.2747700364e-007,1.0698424830e-006,1.0698424830e-006
7,401,Vfb_pre,4.8727223277e-001,4.8727223277e-001,5.0579524040e-001,5.0579524040e-001
7,313,PIN30 EN,-5.1290762424e-001,-5.1290762424e-001,-4.7022888064e-001,-4.7022888064e-001
7,302,PIN8 OUT2,-4.7896146774e-001,-4.7896146774e-001,-4.4165161252e-001,-4.4165161252e-001
7,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
7,611,VO36_4A,3.3963251114e+000,3.3963251114e+000,3.4206564426e+000,3.4206564426e+000
7,402,Vout_pre,1.4591723680e+000,1.4591723680e+000,1.5154714584e+000,1.5154714584e+000
7,314,PIN27 FB,-5.0288110971e-001,-5.0288110971e-001,-4.6767890453e-001,-4.6767890453e-001
7,303,PIN9 OUT3,-5.0517016649e-001,-5.0517016649e-001,-4.6337109804e-001,-4.6337109804e-001
7,623,V_DO_RM,1.1825489812e-002,1.1825489812e-002,2.3796536028e-002,2.3796536028e-002
7,601,VO14_2mA,1.2219344378e+000,1.2219344378e+000,1.2300086021e+000,1.2300086021e+000
7,502,Ishdn,-1.8250000721e-004,-1.8250000721e-004,1.3250000484e-004,1.3250000484e-004
7,414,IbiasErr2,-6.2308881432e-002,-6.2308881432e-002,6.2256328762e-002,6.2256328762e-002
7,403,Vfb_err,-2.5798132643e-002,-2.5798132643e-002,1.1819883250e-002,1.1819883250e-002
7,315,PIN29 OTP,-5.1717746258e-001,-5.1717746258e-001,-4.7108793259e-001,-4.7108793259e-001
7,304,PIN10 OUT4,-5.0947445631e-001,-5.0947445631e-001,-4.6465507150e-001,-4.6465507150e-001
7,624,I_DO_RM,9.1000002623e-001,9.1000002623e-001,1.0900000334e+000,1.0900000334e+000
7,613,VFB36_4A,4.9849855900e-001,4.9849855900e-001,5.0211876631e-001,5.0211876631e-001
7,602,VFB14_2mA,4.9856001139e-001,4.9856001139e-001,5.0195270777e-001,5.0195270777e-001
7,503,Icc1425,4.3851794908e-004,4.3851794908e-004,1.0612959741e-003,1.0612959741e-003
7,415,Ilim8_pre,8.6223573685e+000,8.6223573685e+000,1.2580312729e+001,1.2580312729e+001
7,316,EXPOSED_PAD,-1.0000000149e-001,-1.0000000149e-001,1.0000000149e-001,1.0000000149e-001
7,305,PIN11 OUT5,-5.1049673557e-001,-5.1049673557e-001,-4.6577551961e-001,-4.6577551961e-001
7,713,POK_LowV,2.4296015035e-003,2.4296015035e-003,4.5543317683e-003,4.5543317683e-003
7,625,RATIO,3.2117547989e+000,3.2117547989e+000,3.5909886360e+000,3.5909886360e+000
7,614,TM_CHECK,9.2643756489e-007,9.2643756489e-007,1.0708940863e-006,1.0708940863e-006
7,603,VO36_2mA,1.2217780352e+000,1.2217780352e+000,1.2300692797e+000,1.2300692797e+000
7,504,Icc18,2.5481119519e-004,2.5481119519e-004,1.0687458562e-003,1.0687458562e-003
7,416,Ilim_err,2.0779930055e-001,2.0779930055e-001,4.5563724637e-001,4.5563724637e-001
7,306,PIN6 IN6,-4.0287452936e-001,-4.0287452936e-001,-3.4159973264e-001,-3.4159973264e-001
7,714,POK_del,6.3289888203e-005,6.3289888203e-005,7.6826145232e-005,7.6826145232e-005
7,615,VO14_4A,1.2193806171e+000,1.2193806171e+000,1.2341259718e+000,1.2341259718e+000
7,604,VFB36_2mA,4.9851855636e-001,4.9851855636e-001,5.0199550390e-001,5.0199550390e-001
7,505,Icc36,2.6586820604e-004,2.6586820604e-004,1.0627439478e-003,1.0627439478e-003
7,417,Ilim8Post,6.5426816940e+000,6.5426816940e+000,8.0925531387e+000,8.0925531387e+000
7,406,Vfb Err Post Expected,-2.0000000950e-003,-2.0000000950e-003,2.0000000950e-003,2.0000000950e-003
7,307,PIN7 OUT1,-5.0557291508e-001,-5.0557291508e-001,-4.2948871851e-001,-4.2948871851e-001
7,605,Line_Reg,-2.4317353382e-004,-2.4317353382e-004,2.0723874331e-004,2.0723874331e-004
7,506,Ien_high,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
7,418,Ilim_err2,-7.5632214546e-002,-7.5632214546e-002,1.4333784580e-001,1.4333784580e-001
7,407,Vref_post,-1.3303475862e-004,-1.3303475862e-004,1.0190708563e-003,1.0190708563e-003
7,308,PIN3 IN3,-4.8587507010e-001,-4.8587507010e-001,-4.5661962032e-001,-4.5661962032e-001
7,617,VFB14_4A,4.9661776423e-001,4.9661776423e-001,5.0404059887e-001,5.0404059887e-001
7,606,TM_CHECK,9.4049738664e-007,9.4049738664e-007,1.0849537375e-006,1.0849537375e-006
7,507,Idrop_out,5.5893603712e-004,5.5893603712e-004,1.7420239747e-003,1.7420239747e-003
7,309,PIN4 IN4,-4.8584094644e-001,-4.8584094644e-001,-4.4344046712e-001,-4.4344046712e-001
7,618,Load_Reg,-8.9999998454e-004,-8.9999998454e-004,8.9999998454e-004,8.9999998454e-004
7,607,VO18_4A,1.4966253042e+000,1.4966253042e+000,1.5063718557e+000,1.5063718557e+000
7,508,Ien_low,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
7,409,Vfb_post,4.9747601151e-001,4.9747601151e-001,5.0180768967e-001,5.0180768967e-001
7,619,VO_Char,4.9932035804e-001,4.9932035804e-001,5.0189328194e-001,5.0189328194e-001
7,509,Ifb,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
7,609,VFB18_4A,4.9940651655e-001,4.9940651655e-001,5.0195062160e-001,5.0195062160e-001
7,420,Ilim8_sc,1.7325063944e+000,1.7325063944e+000,2.6200723648e+000,2.6200723648e+000
7,310,PIN5 IN5,-4.8577988148e-001,-4.8577988148e-001,-4.4351860881e-001,-4.4351860881e-001
#########################################
