#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
5,421,IlimSCerr,-2.3526006937e-001,-2.3526006937e-001,1.5940955281e-001,1.5940955281e-001
5,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.6947191019e-007,7.6947191019e-007
5,311,PIN2 IN2,-4.8760530353e-001,-4.8760530353e-001,-4.4390007854e-001,-4.4390007854e-001
5,620,TM_CHECK,9.2515585948e-007,9.2515585948e-007,1.0964030253e-006,1.0964030253e-006
5,411,Ibias_err,-9.6614027023e-001,-9.6614027023e-001,-2.2542753816e-001,-2.2542753816e-001
5,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
5,301,PIN1 IN1,-4.7072246671e-001,-4.7072246671e-001,-4.3964180350e-001,-4.3964180350e-001
5,621,V_DO_TM,5.4265450686e-002,5.4265450686e-002,6.4384415746e-002,6.4384415746e-002
5,610,TM_CHECK,9.3151203373e-007,9.3151203373e-007,1.0999999631e-006,1.0999999631e-006
5,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
5,412,IbiasPost,9.5839448022e-007,9.5839448022e-007,1.0353496691e-006,1.0353496691e-006
5,401,Vfb_pre,4.8719668388e-001,4.8719668388e-001,5.0461083651e-001,5.0461083651e-001
5,313,PIN30 EN,-5.1395410299e-001,-5.1395410299e-001,-4.7174522281e-001,-4.7174522281e-001
5,302,PIN8 OUT2,-4.8475936055e-001,-4.8475936055e-001,-4.4743287563e-001,-4.4743287563e-001
5,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
5,611,VO36_4A,3.3864593506e+000,3.3864593506e+000,3.4133615494e+000,3.4133615494e+000
5,402,Vout_pre,1.4620395899e+000,1.4620395899e+000,1.5137386322e+000,1.5137386322e+000
5,314,PIN27 FB,-5.1185470819e-001,-5.1185470819e-001,-4.7187653184e-001,-4.7187653184e-001
5,303,PIN9 OUT3,-5.0781625509e-001,-5.0781625509e-001,-4.6862226725e-001,-4.6862226725e-001
5,623,V_DO_RM,1.5186495148e-002,1.5186495148e-002,1.8959380686e-002,1.8959380686e-002
5,601,VO14_2mA,1.2218703032e+000,1.2218703032e+000,1.2310564518e+000,1.2310564518e+000
5,502,Ishdn,-1.8250000721e-004,-1.8250000721e-004,1.3250000484e-004,1.3250000484e-004
5,414,IbiasErr2,-7.1238286793e-002,-7.1238286793e-002,6.8156830966e-002,6.8156830966e-002
5,403,Vfb_err,-2.5966446847e-002,-2.5966446847e-002,9.4292769209e-003,9.4292769209e-003
5,315,PIN29 OTP,-5.1189243793e-001,-5.1189243793e-001,-4.7103670239e-001,-4.7103670239e-001
5,304,PIN10 OUT4,-5.1053011417e-001,-5.1053011417e-001,-4.7080391645e-001,-4.7080391645e-001
5,624,I_DO_RM,9.1000002623e-001,9.1000002623e-001,1.0900000334e+000,1.0900000334e+000
5,613,VFB36_4A,4.9813175201e-001,4.9813175201e-001,5.0211220980e-001,5.0211220980e-001
5,602,VFB14_2mA,4.9833437800e-001,4.9833437800e-001,5.0205343962e-001,5.0205343962e-001
5,503,Icc1425,4.8042842536e-004,4.8042842536e-004,7.6020252891e-004,7.6020252891e-004
5,415,Ilim8_pre,8.4600467682e+000,8.4600467682e+000,1.2586666107e+001,1.2586666107e+001
5,316,EXPOSED_PAD,-1.0000000149e-001,-1.0000000149e-001,1.0000000149e-001,1.0000000149e-001
5,305,PIN11 OUT5,-5.1116275787e-001,-5.1116275787e-001,-4.7128167748e-001,-4.7128167748e-001
5,713,POK_LowV,2.8605943080e-003,2.8605943080e-003,3.6667722743e-003,3.6667722743e-003
5,625,RATIO,3.2599134445e+000,3.2599134445e+000,3.5647351742e+000,3.5647351742e+000
5,614,TM_CHECK,9.1397123470e-007,9.1397123470e-007,1.0817446991e-006,1.0817446991e-006
5,603,VO36_2mA,1.2219147682e+000,1.2219147682e+000,1.2288932800e+000,1.2288932800e+000
5,504,Icc18,4.8591860104e-004,4.8591860104e-004,7.6544884359e-004,7.6544884359e-004
5,416,Ilim_err,1.9292819500e-001,1.9292819500e-001,4.6044588089e-001,4.6044588089e-001
5,306,PIN6 IN6,-3.9024072886e-001,-3.9024072886e-001,-3.2699179649e-001,-3.2699179649e-001
5,714,POK_del,6.3823055825e-005,6.3823055825e-005,7.8113400377e-005,7.8113400377e-005
5,615,VO14_4A,1.2219887972e+000,1.2219887972e+000,1.2315737009e+000,1.2315737009e+000
5,604,VFB36_2mA,4.9827897549e-001,4.9827897549e-001,5.0115841627e-001,5.0115841627e-001
5,505,Icc36,4.9653043970e-004,4.9653043970e-004,7.6303788228e-004,7.6303788228e-004
5,417,Ilim8Post,6.4329509735e+000,6.4329509735e+000,8.1061830521e+000,8.1061830521e+000
5,406,Vfb Err Post Expected,-2.0000000950e-003,-2.0000000950e-003,2.0000000950e-003,2.0000000950e-003
5,307,PIN7 OUT1,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
5,605,Line_Reg,-2.6217350387e-004,-2.6217350387e-004,3.4008096554e-004,3.4008096554e-004
5,506,Ien_high,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
5,418,Ilim_err2,-9.1135263443e-002,-9.1135263443e-002,1.4526353776e-001,1.4526353776e-001
5,407,Vref_post,-2.6419034839e-005,-2.6419034839e-005,7.6972180977e-004,7.6972180977e-004
5,308,PIN3 IN3,-4.9046939611e-001,-4.9046939611e-001,-4.4754755497e-001,-4.4754755497e-001
5,617,VFB14_4A,4.9804371595e-001,4.9804371595e-001,5.0242388248e-001,5.0242388248e-001
5,606,TM_CHECK,9.2588771849e-007,9.2588771849e-007,1.0975304576e-006,1.0975304576e-006
5,507,Idrop_out,6.3628726639e-004,6.3628726639e-004,1.1258343002e-003,1.1258343002e-003
5,309,PIN4 IN4,-4.9048098922e-001,-4.9048098922e-001,-4.4740805030e-001,-4.4740805030e-001
5,618,Load_Reg,-6.9289677776e-004,-6.9289677776e-004,5.3385336651e-004,5.3385336651e-004
5,607,VO18_4A,1.4972981215e+000,1.4972981215e+000,1.5085213184e+000,1.5085213184e+000
5,508,Ien_low,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
5,409,Vfb_post,4.9819627404e-001,4.9819627404e-001,5.0197124481e-001,5.0197124481e-001
5,619,VO_Char,4.9840527773e-001,4.9840527773e-001,5.0215983391e-001,5.0215983391e-001
5,509,Ifb,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
