#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,0
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5657798648e-001
302,PIN8 OUT2,1,-4.6891099215e-001
303,PIN9 OUT3,1,-4.8234200478e-001
304,PIN10 OUT4,1,-4.8293998837e-001
305,PIN11 OUT5,1,-4.8386600614e-001
306,PIN6 IN6,1,-3.6402100325e-001
307,PIN7 OUT1,1,-4.7953298688e-001
308,PIN3 IN3,1,-4.6125501394e-001
309,PIN4 IN4,1,-4.6137800813e-001
310,PIN5 IN5,1,-4.6141898632e-001
311,PIN2 IN2,1,-4.6212100983e-001
312,PIN26 POK,1,-6.1731302738e-001
313,PIN30 EN,1,-4.9189698696e-001
314,PIN27 FB,1,-4.9114900827e-001
315,PIN29 OTP,1,-4.9003800750e-001
316,EXPOSED_PAD,1,4.2285200208e-002
401,Vfb_pre,1,4.9712398648e-001
402,Vout_pre,1,1.4901000261e+000
403,Vfb_err,1,-5.7862699032e-003
406,Vfb Err Post Expected,1,2.1372899937e-004
407,Vref_post,1,3.7794199307e-004
409,Vfb_post,1,5.0030702353e-001
410,Ibias_pre,1,5.8105501921e-007
411,Ibias_err,1,-7.2100800276e-001
412,IbiasPost,1,1.0011799532e-006
414,IbiasErr2,1,1.1741199996e-003
415,Ilim8_pre,1,1.0738400459e+001
416,Ilim_err,1,3.4086999297e-001
417,Ilim8Post,1,7.2275800705e+000
418,Ilim_err2,1,2.1132700145e-002
420,Ilim8_sc,1,2.2650399208e+000
421,IlimSCerr,1,2.2282900754e-003
502,Ishdn,1,4.9226400733e-006
503,Icc1425,1,6.4391701017e-004
504,Icc18,1,6.4670300344e-004
505,Icc36,1,6.4706697594e-004
506,Ien_high,1,-1.9993799949e-009
507,Idrop_out,1,8.9704699349e-004
508,Ien_low,1,-1.1100500519e-009
509,Ifb,1,-9.3228003095e-009
511,Ipok/r,1,5.0884500606e-012
601,VO14_2mA,1,1.2264300585e+000
602,VFB14_2mA,1,5.0041699409e-001
603,VO36_2mA,1,1.2261699438e+000
604,VFB36_2mA,1,5.0033402443e-001
605,Line_Reg,1,-9.8397897091e-005
606,TM_CHECK,1,1.0120900242e-006
607,VO18_4A,1,1.5024299622e+000
609,VFB18_4A,1,5.0037300587e-001
610,TM_CHECK,1,1.0201999885e-006
611,VO36_4A,1,3.4103100300e+000
613,VFB36_4A,1,5.0027900934e-001
614,TM_CHECK,1,9.9945998500e-007
615,VO14_4A,1,1.2267400026e+000
617,VFB14_4A,1,5.0069200993e-001
618,Load_Reg,1,-7.7575699834e-005
619,VO_Char,1,5.0035101175e-001
620,TM_CHECK,1,1.0122299727e-006
621,V_DO_TM,1,5.7375099510e-002
622,I_DO_TM,1,5.0068098307e-001
623,V_DO_RM,1,1.7131799832e-002
624,I_DO_RM,1,1.0007100105e+000
625,RATIO,1,3.3490500450e+000
713,POK_LowV,1,3.1724700239e-003
714,POK_del,1,7.0160800533e-005

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,0
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6107500792e-001
302,PIN8 OUT2,1,-4.7153300047e-001
303,PIN9 OUT3,1,-4.8771101236e-001
304,PIN10 OUT4,1,-4.8868298531e-001
305,PIN11 OUT5,1,-4.8960900307e-001
306,PIN6 IN6,1,-3.7247699499e-001
307,PIN7 OUT1,1,-4.8352900147e-001
308,PIN3 IN3,1,-4.6637699008e-001
309,PIN4 IN4,1,-4.6650001407e-001
310,PIN5 IN5,1,-4.6654000878e-001
311,PIN2 IN2,1,-4.6724200249e-001
312,PIN26 POK,1,-6.1979699135e-001
313,PIN30 EN,1,-4.9164700508e-001
314,PIN27 FB,1,-4.9089899659e-001
315,PIN29 OTP,1,-4.9093800783e-001
316,EXPOSED_PAD,1,4.2285200208e-002
401,Vfb_pre,1,4.9439701438e-001
402,Vout_pre,1,1.4819699526e+000
403,Vfb_err,1,-1.1332700029e-002
406,Vfb Err Post Expected,1,6.6730799153e-004
407,Vref_post,1,3.3840700053e-004
409,Vfb_post,1,5.0045299530e-001
410,Ibias_pre,1,6.1841200250e-007
411,Ibias_err,1,-6.1704397202e-001
412,IbiasPost,1,9.7056397408e-007
414,IbiasErr2,1,0.0000000000e+000
415,Ilim8_pre,1,1.0715700150e+001
416,Ilim_err,1,3.3947300911e-001
417,Ilim8Post,1,7.3496899605e+000
418,Ilim_err2,1,3.8384500891e-002
420,Ilim8_sc,1,2.1997299194e+000
421,IlimSCerr,1,-2.6669699699e-002
502,Ishdn,1,2.4621899684e-006
503,Icc1425,1,5.9882900678e-004
504,Icc18,1,6.0502102133e-004
505,Icc36,1,6.1412702780e-004
506,Ien_high,1,-1.9679400332e-009
507,Idrop_out,1,8.7616097881e-004
508,Ien_low,1,-1.2829799445e-009
509,Ifb,1,-9.0397103136e-009
511,Ipok/r,1,3.5804900711e-012
601,VO14_2mA,1,1.2267099619e+000
602,VFB14_2mA,1,5.0057101250e-001
603,VO36_2mA,1,1.2266800404e+000
604,VFB36_2mA,1,5.0059002638e-001
605,Line_Reg,1,-1.4837800336e-005
606,TM_CHECK,1,1.0323000197e-006
607,VO18_4A,1,1.5029799938e+000
609,VFB18_4A,1,5.0069797039e-001
610,TM_CHECK,1,1.0391399883e-006
611,VO36_4A,1,3.4102098942e+000
613,VFB36_4A,1,5.0051200390e-001
614,TM_CHECK,1,1.0194299875e-006
615,VO14_4A,1,1.2268799543e+000
617,VFB14_4A,1,5.0084799528e-001
618,Load_Reg,1,-4.1573701310e-005
619,VO_Char,1,5.0049501657e-001
620,TM_CHECK,1,1.0320900401e-006
621,V_DO_TM,1,5.8519799262e-002
622,I_DO_TM,1,5.0068300962e-001
