#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6315300465e-001
302,PIN8 OUT2,1,-4.5574599504e-001
303,PIN9 OUT3,1,-4.8602598906e-001
304,PIN10 OUT4,1,-4.8988398910e-001
305,PIN11 OUT5,1,-4.9068999290e-001
306,PIN6 IN6,1,-3.7848699093e-001
307,PIN7 OUT1,1,-4.6781098843e-001
308,PIN3 IN3,1,-4.6808600426e-001
309,PIN4 IN4,1,-4.6847099066e-001
310,PIN5 IN5,1,-4.6842798591e-001
311,PIN2 IN2,1,-4.6847599745e-001
312,PIN26 POK,1,-6.2091797590e-001
313,PIN30 EN,1,-4.9326899648e-001
314,PIN27 FB,1,-4.9341601133e-001
315,PIN29 OTP,1,-4.9257600307e-001
316,EXPOSED_PAD,1,4.7154799104e-002
401,Vfb_pre,1,4.9741199613e-001
402,Vout_pre,1,1.4911799431e+000
403,Vfb_err,1,-5.2025401965e-003
406,Vfb Err Post Expected,1,7.9745502444e-004
407,Vref_post,1,5.0506601110e-004
409,Vfb_post,1,5.0044798851e-001
410,Ibias_pre,1,6.2475902496e-007
411,Ibias_err,1,-6.0061597824e-001
412,IbiasPost,1,9.8073098798e-007
414,IbiasErr2,1,-1.9647499546e-002
415,Ilim8_pre,1,9.9423198700e+000
416,Ilim_err,1,2.8809300065e-001
417,Ilim8Post,1,7.2038598061e+000
418,Ilim_err2,1,1.7781499773e-002
420,Ilim8_sc,1,2.1868600845e+000
421,IlimSCerr,1,-3.2364599407e-002
502,Ishdn,1,2.9284099128e-006
503,Icc1425,1,6.0178001877e-004
504,Icc18,1,6.0719699832e-004
505,Icc36,1,6.1750697205e-004
506,Ien_high,1,-1.9835899590e-009
507,Idrop_out,1,8.6288602324e-004
508,Ien_low,1,-1.1193499461e-009
509,Ifb,1,-7.6731598853e-009
511,Ipok/r,1,1.6733699929e-012
601,VO14_2mA,1,1.2267099619e+000
602,VFB14_2mA,1,5.0052499771e-001
603,VO36_2mA,1,1.2265800238e+000
604,VFB36_2mA,1,5.0049597025e-001
605,Line_Reg,1,-4.9237700296e-005
606,TM_CHECK,1,9.9060002867e-007
607,VO18_4A,1,1.5027099848e+000
609,VFB18_4A,1,5.0047498941e-001
610,TM_CHECK,1,9.9533303910e-007
611,VO36_4A,1,3.4119598866e+000
613,VFB36_4A,1,5.0048798323e-001
614,TM_CHECK,1,9.8063401310e-007
615,VO14_4A,1,1.2273199558e+000
617,VFB14_4A,1,5.0070798397e-001
618,Load_Reg,1,-1.5459899441e-004
619,VO_Char,1,5.0050699711e-001
620,TM_CHECK,1,9.9053704616e-007
621,V_DO_TM,1,6.0630600899e-002
622,I_DO_TM,1,5.0064599514e-001
623,V_DO_RM,1,1.7635099590e-002
624,I_DO_RM,1,1.0006200075e+000
625,RATIO,1,3.4380600452e+000
713,POK_LowV,1,3.2454200555e-003
714,POK_del,1,7.3962699389e-005

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6252900362e-001
302,PIN8 OUT2,1,-4.5874398947e-001
303,PIN9 OUT3,1,-4.8590099812e-001
304,PIN10 OUT4,1,-4.8875901103e-001
305,PIN11 OUT5,1,-4.8993998766e-001
306,PIN6 IN6,1,-3.7536400557e-001
307,PIN7 OUT1,1,-4.6843498945e-001
308,PIN3 IN3,1,-4.6783599257e-001
309,PIN4 IN4,1,-4.6784600616e-001
310,PIN5 IN5,1,-4.6780401468e-001
311,PIN2 IN2,1,-4.6760201454e-001
312,PIN26 POK,1,-6.1993098259e-001
313,PIN30 EN,1,-4.9151998758e-001
314,PIN27 FB,1,-4.9166700244e-001
315,PIN29 OTP,1,-4.9021598697e-001
316,EXPOSED_PAD,1,4.7092400491e-002
401,Vfb_pre,1,4.9615401030e-001
402,Vout_pre,1,1.4872599840e+000
403,Vfb_err,1,-7.7523398213e-003
406,Vfb Err Post Expected,1,2.4765499984e-004
407,Vref_post,1,5.6337198475e-004
409,Vfb_post,1,5.0009202957e-001
410,Ibias_pre,1,6.1271100549e-007
411,Ibias_err,1,-6.3209098577e-001
412,IbiasPost,1,1.0124000482e-006
414,IbiasErr2,1,1.2248200364e-002
415,Ilim8_pre,1,1.0636199951e+001
416,Ilim_err,1,3.3453899622e-001
417,Ilim8Post,1,7.2863001823e+000
418,Ilim_err2,1,2.9427999631e-002
420,Ilim8_sc,1,2.2094099522e+000
421,IlimSCerr,1,-2.2386800498e-002
502,Ishdn,1,2.4301300527e-006
503,Icc1425,1,6.2753498787e-004
504,Icc18,1,6.3208001666e-004
505,Icc36,1,6.3908897573e-004
506,Ien_high,1,-1.7320199719e-009
507,Idrop_out,1,9.3505601399e-004
508,Ien_low,1,-1.0407400497e-009
509,Ifb,1,-7.7046200531e-009
511,Ipok/r,1,3.1823699492e-012
601,VO14_2mA,1,1.2258199453e+000
602,VFB14_2mA,1,5.0012099743e-001
603,VO36_2mA,1,1.2259700298e+000
604,VFB36_2mA,1,5.0020998716e-001
605,Line_Reg,1,5.7053199271e-005
606,TM_CHECK,1,1.0223200206e-006
607,VO18_4A,1,1.5017999411e+000
609,VFB18_4A,1,5.0014597178e-001
610,TM_CHECK,1,1.0279300113e-006
611,VO36_4A,1,3.4097700119e+000
613,VFB36_4A,1,5.0013899803e-001
614,TM_CHECK,1,1.0098300436e-006
615,VO14_4A,1,1.2256400585e+000
617,VFB14_4A,1,5.0068098307e-001
618,Load_Reg,1,4.2985098844e-005
619,VO_Char,1,5.0013500452e-001
620,TM_CHECK,1,1.0217099771e-006
621,V_DO_TM,1,5.9250500053e-002
622,I_DO_TM,1,5.0070798397e-001
623,V_DO_RM,1,1.7302300781e-002
624,I_DO_RM,1,1.0006999969e+000
625,RATIO,1,3.4244298935e+000
713,POK_LowV,1,3.3328800928e-003
714,POK_del,1,7.2446302511e-005

#########################################

#### RESULT packet 2 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6090498567e-001
302,PIN8 OUT2,1,-4.5949399471e-001
303,PIN9 OUT3,1,-4.8377698660e-001
304,PIN10 OUT4,1,-4.8638600111e-001
305,PIN11 OUT5,1,-4.8706701398e-001
306,PIN6 IN6,1,-3.7035501003e-001
307,PIN7 OUT1,1,-4.6830999851e-001
308,PIN3 IN3,1,-4.6658700705e-001
309,PIN4 IN4,1,-4.6672201157e-001
310,PIN5 IN5,1,-4.6655499935e-001
311,PIN2 IN2,1,-4.6622800827e-001
312,PIN26 POK,1,-6.1915701628e-001
313,PIN30 EN,1,-4.8952201009e-001
314,PIN27 FB,1,-4.8916900158e-001
315,PIN29 OTP,1,-4.8832899332e-001
316,EXPOSED_PAD,1,4.6717900783e-002
401,Vfb_pre,1,4.9683099985e-001
402,Vout_pre,1,1.4899300337e+000
403,Vfb_err,1,-6.3777700998e-003
406,Vfb Err Post Expected,1,-3.7776998943e-004
407,Vref_post,1,6.0501898406e-004
409,Vfb_post,1,4.9988999963e-001
410,Ibias_pre,1,6.4478001605e-007
411,Ibias_err,1,-5.5091798306e-001
412,IbiasPost,1,1.0130099781e-006
414,IbiasErr2,1,1.2844399549e-002
415,Ilim8_pre,1,1.0385199547e+001
416,Ilim_err,1,3.1845399737e-001
417,Ilim8Post,1,7.1381301880e+000
418,Ilim_err2,1,8.4943603724e-003
420,Ilim8_sc,1,2.0518200397e+000
421,IlimSCerr,1,-9.2113897204e-002
502,Ishdn,1,3.7381100810e-006
503,Icc1425,1,6.1523297336e-004
504,Icc18,1,6.1951897806e-004
505,Icc36,1,6.2197097577e-004
506,Ien_high,1,-1.9207000435e-009
507,Idrop_out,1,9.0232299408e-004
508,Ien_low,1,-8.0489098719e-010
509,Ifb,1,-8.3337496903e-009
511,Ipok/r,1,2.8679899167e-012
601,VO14_2mA,1,1.2260400057e+000
602,VFB14_2mA,1,5.0027102232e-001
603,VO36_2mA,1,1.2256300449e+000
604,VFB36_2mA,1,5.0010997057e-001
605,Line_Reg,1,-1.5318399528e-004
606,TM_CHECK,1,1.0237099559e-006
607,VO18_4A,1,1.5016800165e+000
609,VFB18_4A,1,5.0013500452e-001
610,TM_CHECK,1,1.0294399999e-006
611,VO36_4A,1,3.4092299938e+000
613,VFB36_4A,1,5.0008201599e-001
614,TM_CHECK,1,1.0100000054e-006
615,VO14_4A,1,1.2257399559e+000
617,VFB14_4A,1,5.0055199862e-001
618,Load_Reg,1,7.6319302025e-005
619,VO_Char,1,5.0017499924e-001
620,TM_CHECK,1,1.0228500287e-006
621,V_DO_TM,1,5.8325000107e-002
622,I_DO_TM,1,5.0068300962e-001
623,V_DO_RM,1,1.7123699188e-002
624,I_DO_RM,1,1.0006599426e+000
625,RATIO,1,3.4061000347e+000
713,POK_LowV,1,3.2079399098e-003
714,POK_del,1,7.1359398135e-005

#########################################

#### RESULT packet 3 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6065500379e-001
302,PIN8 OUT2,1,-4.5712000132e-001
303,PIN9 OUT3,1,-4.8427700996e-001
304,PIN10 OUT4,1,-4.8738500476e-001
305,PIN11 OUT5,1,-4.8844099045e-001
306,PIN6 IN6,1,-3.7462699413e-001
307,PIN7 OUT1,1,-4.6930998564e-001
308,PIN3 IN3,1,-4.6596300602e-001
309,PIN4 IN4,1,-4.6584799886e-001
310,PIN5 IN5,1,-4.6580499411e-001
311,PIN2 IN2,1,-4.6572801471e-001
312,PIN26 POK,1,-6.2006902695e-001
313,PIN30 EN,1,-4.8902198672e-001
314,PIN27 FB,1,-4.8879399896e-001
315,PIN29 OTP,1,-4.8783001304e-001
316,EXPOSED_PAD,1,4.6905100346e-002
401,Vfb_pre,1,4.9573799968e-001
402,Vout_pre,1,1.4862699509e+000
403,Vfb_err,1,-8.5966801271e-003
406,Vfb Err Post Expected,1,-5.9668399626e-004
407,Vref_post,1,5.9668900212e-004
409,Vfb_post,1,4.9971100688e-001
410,Ibias_pre,1,6.1188802647e-007
411,Ibias_err,1,-6.3428497314e-001
412,IbiasPost,1,1.0112900100e-006
414,IbiasErr2,1,1.1167200282e-002
415,Ilim8_pre,1,1.0928799629e+001
416,Ilim_err,1,3.5234999657e-001
417,Ilim8Post,1,7.4856801033e+000
418,Ilim_err2,1,5.7597499341e-002
420,Ilim8_sc,1,2.1631898880e+000
421,IlimSCerr,1,-4.2836599052e-002
502,Ishdn,1,2.0564200440e-006
503,Icc1425,1,6.2480499037e-004
504,Icc18,1,6.2737701228e-004
505,Icc36,1,6.3278799644e-004
506,Ien_high,1,-2.0464800965e-009
507,Idrop_out,1,9.2211697483e-004
508,Ien_low,1,-1.1036299652e-009
509,Ifb,1,-8.4910398712e-009
511,Ipok/r,1,1.7362399496e-012
601,VO14_2mA,1,1.2251100540e+000
602,VFB14_2mA,1,4.9984198809e-001
603,VO36_2mA,1,1.2251499891e+000
604,VFB36_2mA,1,4.9988600612e-001
605,Line_Reg,1,1.7194099200e-005
606,TM_CHECK,1,1.0225099913e-006
607,VO18_4A,1,1.5007900000e+000
609,VFB18_4A,1,4.9985599518e-001
610,TM_CHECK,1,1.0283899883e-006
611,VO36_4A,1,3.4079101086e+000
613,VFB36_4A,1,4.9984699488e-001
614,TM_CHECK,1,1.0084099813e-006
615,VO14_4A,1,1.2255799770e+000
617,VFB14_4A,1,5.0022101402e-001
618,Load_Reg,1,-1.1801799701e-004
619,VO_Char,1,4.9989300966e-001
620,TM_CHECK,1,1.0213899486e-006
621,V_DO_TM,1,5.8276299387e-002
622,I_DO_TM,1,5.0070798397e-001
623,V_DO_RM,1,1.7091199756e-002
624,I_DO_RM,1,1.0006899834e+000
625,RATIO,1,3.4097299576e+000
713,POK_LowV,1,3.1704599969e-003
714,POK_del,1,7.0835696533e-005

#########################################

#### RESULT packet 4 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6340298653e-001
302,PIN8 OUT2,1,-4.5961898565e-001
303,PIN9 OUT3,1,-4.8752498627e-001
304,PIN10 OUT4,1,-4.9075898528e-001
305,PIN11 OUT5,1,-4.9168899655e-001
306,PIN6 IN6,1,-3.7682598829e-001
307,PIN7 OUT1,1,-4.7068399191e-001
308,PIN3 IN3,1,-4.6821099520e-001
309,PIN4 IN4,1,-4.6859601140e-001
310,PIN5 IN5,1,-4.6855300665e-001
311,PIN2 IN2,1,-4.6872600913e-001
312,PIN26 POK,1,-6.1999398470e-001
313,PIN30 EN,1,-4.9526798725e-001
314,PIN27 FB,1,-4.9354100227e-001
315,PIN29 OTP,1,-4.9412500858e-001
316,EXPOSED_PAD,1,4.6967498958e-002
401,Vfb_pre,1,4.9627900124e-001
402,Vout_pre,1,1.4878799915e+000
403,Vfb_err,1,-7.4986801483e-003
406,Vfb Err Post Expected,1,5.0131499302e-004
407,Vref_post,1,5.7170097716e-004
409,Vfb_post,1,5.0020599365e-001
410,Ibias_pre,1,6.3374602632e-007
411,Ibias_err,1,-5.7791799307e-001
412,IbiasPost,1,9.9873500403e-007
414,IbiasErr2,1,-1.2670200085e-003
415,Ilim8_pre,1,1.0528900146e+001
416,Ilim_err,1,3.2775598764e-001
417,Ilim8Post,1,7.1649899483e+000
418,Ilim_err2,1,1.2288900092e-002
420,Ilim8_sc,1,2.0661299229e+000
421,IlimSCerr,1,-8.5783697665e-002
502,Ishdn,1,1.8695600374e-006
503,Icc1425,1,6.6953600617e-004
504,Icc18,1,6.7556498107e-004
505,Icc36,1,6.8526301766e-004
506,Ien_high,1,-1.9207000435e-009
507,Idrop_out,1,9.1089599300e-004
508,Ien_low,1,-1.0092899849e-009
509,Ifb,1,-4.3701899877e-009
511,Ipok/r,1,2.8679899167e-012
601,VO14_2mA,1,1.2261500359e+000
602,VFB14_2mA,1,5.0025200844e-001
603,VO36_2mA,1,1.2264300585e+000
604,VFB36_2mA,1,5.0034397840e-001
605,Line_Reg,1,1.0707200272e-004
606,TM_CHECK,1,1.0092800267e-006
607,VO18_4A,1,1.5022799969e+000
609,VFB18_4A,1,5.0029897690e-001
610,TM_CHECK,1,1.0147999774e-006
611,VO36_4A,1,3.4107599258e+000
613,VFB36_4A,1,5.0019598007e-001
614,TM_CHECK,1,9.9570797829e-007
615,VO14_4A,1,1.2261899710e+000
617,VFB14_4A,1,5.0077402592e-001
618,Load_Reg,1,-1.0631400073e-005
619,VO_Char,1,5.0032699108e-001
620,TM_CHECK,1,1.0082600284e-006
621,V_DO_TM,1,5.9356000274e-002
622,I_DO_TM,1,5.0065702200e-001
623,V_DO_RM,1,1.7610799521e-002
624,I_DO_RM,1,1.0006500483e+000
625,RATIO,1,3.3704400063e+000
713,POK_LowV,1,3.1704599969e-003
714,POK_del,1,7.2188900958e-005

#########################################

#### RESULT packet 5 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,1
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5890599489e-001
302,PIN8 OUT2,1,-4.6049299836e-001
303,PIN9 OUT3,1,-4.9064901471e-001
304,PIN10 OUT4,1,-4.9463200569e-001
305,PIN11 OUT5,1,-4.9543800950e-001
306,PIN6 IN6,1,-3.7056800723e-001
307,PIN7 OUT1,1,-4.7205799818e-001
308,PIN3 IN3,1,-4.6483799815e-001
309,PIN4 IN4,1,-4.6522301435e-001
310,PIN5 IN5,1,-4.6518099308e-001
311,PIN2 IN2,1,-4.6572801471e-001
312,PIN26 POK,1,-6.1888200045e-001
313,PIN30 EN,1,-5.0063902140e-001
314,PIN27 FB,1,-4.9778801203e-001
315,PIN29 OTP,1,-4.9813500047e-001
316,EXPOSED_PAD,1,4.7029998153e-002
401,Vfb_pre,1,4.9774599075e-001
402,Vout_pre,1,1.4926500320e+000
403,Vfb_err,1,-4.5277201571e-003
406,Vfb Err Post Expected,1,-5.2771699848e-004
407,Vref_post,1,5.3005502559e-004
409,Vfb_post,1,4.9978598952e-001
410,Ibias_pre,1,6.1160199039e-007
411,Ibias_err,1,-6.3504999876e-001
412,IbiasPost,1,1.0089299849e-006
414,IbiasErr2,1,8.8533200324e-003
415,Ilim8_pre,1,1.0451100349e+001
416,Ilim_err,1,3.2274800539e-001
417,Ilim8Post,1,7.1237201691e+000
418,Ilim_err2,1,6.4580999315e-003
420,Ilim8_sc,1,2.0855400562e+000
421,IlimSCerr,1,-7.7194303274e-002
502,Ishdn,1,2.3678398975e-006
503,Icc1425,1,6.0987699544e-004
504,Icc18,1,6.1566801742e-004
505,Icc36,1,6.2492897268e-004
506,Ien_high,1,-1.5119000496e-009
507,Idrop_out,1,8.5758802015e-004
508,Ien_low,1,-8.9136797943e-010
509,Ifb,1,-7.8933597436e-009
511,Ipok/r,1,3.4967400069e-012
601,VO14_2mA,1,1.2255300283e+000
602,VFB14_2mA,1,5.0010198355e-001
603,VO36_2mA,1,1.2255500555e+000
604,VFB36_2mA,1,5.0006300211e-001
605,Line_Reg,1,7.8154998846e-006
606,TM_CHECK,1,1.0195000186e-006
607,VO18_4A,1,1.5013400316e+000
609,VFB18_4A,1,5.0000602007e-001
610,TM_CHECK,1,1.0250699916e-006
611,VO36_4A,1,3.4087700844e+000
