#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,3
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5395299792e-001
302,PIN8 OUT2,1,-4.6112099290e-001
303,PIN9 OUT3,1,-4.8307499290e-001
304,PIN10 OUT4,1,-4.8568400741e-001
305,PIN11 OUT5,1,-4.8633599281e-001
306,PIN6 IN6,1,-3.6881899834e-001
307,PIN7 OUT1,1,-4.8103600740e-001
308,PIN3 IN3,1,-4.5839700103e-001
309,PIN4 IN4,1,-4.5802098513e-001
310,PIN5 IN5,1,-4.5836699009e-001
311,PIN2 IN2,1,-4.5873400569e-001
312,PIN26 POK,1,-6.1816900969e-001
313,PIN30 EN,1,-4.8928898573e-001
314,PIN27 FB,1,-4.8779401183e-001
315,PIN29 OTP,1,-4.8816001415e-001
316,EXPOSED_PAD,1,5.3764298558e-002
401,Vfb_pre,1,4.9503499269e-001
402,Vout_pre,1,1.4832099676e+000
403,Vfb_err,1,-1.0029099882e-002
406,Vfb Err Post Expected,1,-2.9130100302e-005
407,Vref_post,1,3.8972700713e-004
409,Vfb_post,1,5.0011801720e-001
410,Ibias_pre,1,6.3952097662e-007
411,Ibias_err,1,-5.6366997957e-001
412,IbiasPost,1,1.0063399714e-006
414,IbiasErr2,1,6.2980200164e-003
415,Ilim8_pre,1,1.0599699974e+001
416,Ilim_err,1,3.3224698901e-001
417,Ilim8Post,1,7.2309699059e+000
418,Ilim_err2,1,2.1610900760e-002
420,Ilim8_sc,1,2.1949601173e+000
421,IlimSCerr,1,-2.8777999803e-002
502,Ishdn,1,2.5818299036e-006
503,Icc1425,1,6.5568997525e-004
504,Icc18,1,6.5865501529e-004
505,Icc36,1,6.5760099096e-004
506,Ien_high,1,-2.2816200040e-009
507,Idrop_out,1,9.6507300623e-004
508,Ien_low,1,-5.5727897852e-009
509,Ifb,1,-9.1957499393e-009
511,Ipok/r,1,1.5508200193e-012
601,VO14_2mA,1,1.2253999710e+000
602,VFB14_2mA,1,5.0019502640e-001
603,VO36_2mA,1,1.2255899906e+000
604,VFB36_2mA,1,5.0022399426e-001
605,Line_Reg,1,7.0320398663e-005
606,TM_CHECK,1,1.0179199990e-006
607,VO18_4A,1,1.5014100075e+000
609,VFB18_4A,1,5.0022399426e-001
610,TM_CHECK,1,1.0235199852e-006
611,VO36_4A,1,3.4000101089e+000
613,VFB36_4A,1,5.0019901991e-001
614,TM_CHECK,1,1.0029100395e-006
615,VO14_4A,1,1.2250100374e+000
617,VFB14_4A,1,5.0077199936e-001
618,Load_Reg,1,9.8872602393e-005
619,VO_Char,1,5.0020802021e-001
620,TM_CHECK,1,1.0161600130e-006
621,V_DO_TM,1,5.8852698654e-002
622,I_DO_TM,1,5.0070601702e-001
623,V_DO_RM,1,1.7462000251e-002
624,I_DO_RM,1,1.0007100105e+000
625,RATIO,1,3.3703200817e+000
713,POK_LowV,1,3.2456000336e-003
714,POK_del,1,7.1413902333e-005

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,3
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6044901013e-001
302,PIN8 OUT2,1,-4.6386900544e-001
303,PIN9 OUT3,1,-4.8219999671e-001
304,PIN10 OUT4,1,-4.8443499207e-001
305,PIN11 OUT5,1,-4.8496198654e-001
306,PIN6 IN6,1,-3.7356498837e-001
307,PIN7 OUT1,1,-4.7691398859e-001
308,PIN3 IN3,1,-4.6564200521e-001
309,PIN4 IN4,1,-4.6551600099e-001
310,PIN5 IN5,1,-4.6573698521e-001
311,PIN2 IN2,1,-4.6585398912e-001
312,PIN26 POK,1,-6.1954301596e-001
313,PIN30 EN,1,-4.8691600561e-001
314,PIN27 FB,1,-4.8642098904e-001
315,PIN29 OTP,1,-4.8567500710e-001
316,EXPOSED_PAD,1,5.3701899946e-002
401,Vfb_pre,1,4.9652099609e-001
