#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,7
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5301601291e-001 
302,PIN8 OUT2,1,-4.5740199089e-001 
303,PIN9 OUT3,1,-4.8197901249e-001 
304,PIN10 OUT4,1,-4.8474499583e-001 
305,PIN11 OUT5,1,-4.8582699895e-001 
306,PIN6 IN6,1,-3.6477199197e-001 
307,PIN7 OUT1,1,-4.7707900405e-001 
308,PIN3 IN3,1,-4.5870798826e-001 
309,PIN4 IN4,1,-4.5852801204e-001 
310,PIN5 IN5,1,-4.5861598849e-001 
311,PIN2 IN2,1,-4.5921799541e-001 
312,PIN26 POK,1,-6.1799502373e-001 
313,PIN30 EN,1,-4.8939299583e-001 
314,PIN27 FB,1,-4.8842298985e-001 
315,PIN29 OTP,1,-4.8766601086e-001 
316,EXPOSED_PAD,1,5.4669499397e-002 
401,Vfb_pre,1,4.9665001035e-001 
402,Vout_pre,1,1.4875400066e+000 
403,Vfb_err,1,-6.7458399571e-003 
406,Vfb Err Post Expected,1,-7.4584397953e-004 
407,Vref_post,1,3.6067600013e-004 
409,Vfb_post,1,4.9964299798e-001 
410,Ibias_pre,1,6.1420900010e-007 
411,Ibias_err,1,-6.2811100483e-001 
412,IbiasPost,1,1.0132299622e-006 
414,IbiasErr2,1,1.3056400232e-002 
415,Ilim8_pre,1,1.1182399750e+001 
416,Ilim_err,1,3.6703899503e-001 
417,Ilim8Post,1,7.3230500221e+000 
418,Ilim_err2,1,3.4620698541e-002 
420,Ilim8_sc,1,2.1494801044e+000 
421,IlimSCerr,1,-4.8904199153e-002 
502,Ishdn,1,1.6158600147e-006 
503,Icc1425,1,6.3874799525e-004 
504,Icc18,1,6.4122298500e-004 
505,Icc36,1,6.4488197677e-004 
506,Ien_high,1,-1.9541699370e-009 
507,Idrop_out,1,9.3776697759e-004 
508,Ien_low,1,-1.2305999553e-009 
509,Ifb,1,-7.1651400368e-009 
511,Ipok/r,1,3.1731999840e-012 
601,VO14_2mA,1,1.2249200344e+000 
602,VFB14_2mA,1,4.9983099103e-001 
603,VO36_2mA,1,1.2247899771e+000 
604,VFB36_2mA,1,4.9977201223e-001 
605,Line_Reg,1,-4.9214999308e-005 
606,TM_CHECK,1,1.0236200296e-006 
607,VO18_4A,1,1.5001599789e+000 
609,VFB18_4A,1,4.9982601404e-001 
610,TM_CHECK,1,1.0291599892e-006 
611,VO36_4A,1,3.4057199955e+000 
613,VFB36_4A,1,4.9995800853e-001 
614,TM_CHECK,1,1.0103600516e-006 
615,VO14_4A,1,1.2272000313e+000 
617,VFB14_4A,1,4.9923199415e-001 
618,Load_Reg,1,-5.7034002384e-004 
619,VO_Char,1,4.9971899390e-001 
620,TM_CHECK,1,1.0226599443e-006 
621,V_DO_TM,1,5.9114299715e-002 
622,I_DO_TM,1,5.0066500902e-001 
623,V_DO_RM,1,1.7344400287e-002 
624,I_DO_RM,1,1.0006899834e+000 
625,RATIO,1,3.4082601070e+000 
713,POK_LowV,1,3.4807699267e-003 
714,POK_del,1,6.9997702667e-005 

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,7
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5688900352e-001 
302,PIN8 OUT2,1,-4.6077400446e-001 
303,PIN9 OUT3,1,-4.8634999990e-001 
304,PIN10 OUT4,1,-4.8924100399e-001 
305,PIN11 OUT5,1,-4.9032300711e-001 
306,PIN6 IN6,1,-3.6905801296e-001 
307,PIN7 OUT1,1,-4.7545498610e-001 
308,PIN3 IN3,1,-4.6295601130e-001 
309,PIN4 IN4,1,-4.6290099621e-001 
310,PIN5 IN5,1,-4.6286401153e-001 
311,PIN2 IN2,1,-4.6321600676e-001 
312,PIN26 POK,1,-6.1900597811e-001 
313,PIN30 EN,1,-4.9301499128e-001 
314,PIN27 FB,1,-4.9316999316e-001 
315,PIN29 OTP,1,-4.9184998870e-001 
316,EXPOSED_PAD,1,5.4607100785e-002 
401,Vfb_pre,1,4.9708700180e-001 
402,Vout_pre,1,1.4890300035e+000 
403,Vfb_err,1,-5.8604697697e-003 
406,Vfb Err Post Expected,1,1.3952900190e-004 
407,Vref_post,1,4.3144499068e-004 
409,Vfb_post,1,5.0021398067e-001 
410,Ibias_pre,1,6.2419297819e-007 
411,Ibias_err,1,-6.0206800699e-001 
412,IbiasPost,1,9.7768997875e-007 
414,IbiasErr2,1,0.0000000000e+000 
415,Ilim8_pre,1,1.0912500381e+001 
416,Ilim_err,1,3.5138601065e-001 
417,Ilim8Post,1,7.4626197815e+000 
418,Ilim_err2,1,5.4338600487e-002 
420,Ilim8_sc,1,2.2233600616e+000 
421,IlimSCerr,1,-1.6213899478e-002 
502,Ishdn,1,2.5813999400e-006 
503,Icc1425,1,6.2090100255e-004 
504,Icc18,1,6.2269001501e-004 
505,Icc36,1,6.2638102099e-004 
506,Ien_high,1,-2.0485699803e-009 
507,Idrop_out,1,9.6301897429e-004 
508,Ien_low,1,-1.2305999553e-009 
509,Ifb,1,-7.5424395618e-009 
511,Ipok/r,1,2.0421299200e-012 
601,VO14_2mA,1,1.2263000011e+000 
602,VFB14_2mA,1,5.0036501884e-001 
603,VO36_2mA,1,1.2262099981e+000 
604,VFB36_2mA,1,5.0036501884e-001 
605,Line_Reg,1,-3.2028801797e-005 
606,TM_CHECK,1,1.0433800526e-006 
607,VO18_4A,1,1.5019500256e+000 
609,VFB18_4A,1,5.0041300058e-001 
610,TM_CHECK,1,1.0491900184e-006 
611,VO36_4A,1,3.4101500511e+000 
613,VFB36_4A,1,5.0059497356e-001 
614,TM_CHECK,1,1.0282000176e-006 
615,VO14_4A,1,1.2246600389e+000 
617,VFB14_4A,1,4.9976900220e-001 
618,Load_Reg,1,4.0861498564e-004 
619,VO_Char,1,5.0028097630e-001 
620,TM_CHECK,1,1.0418200418e-006 
621,V_DO_TM,1,5.8180499822e-002 
622,I_DO_TM,1,5.0071698427e-001 
623,V_DO_RM,1,1.7060199752e-002 
624,I_DO_RM,1,1.0007200241e+000 
625,RATIO,1,3.4103000164e+000 
713,POK_LowV,1,3.7555200979e-003 
714,POK_del,1,6.7888300691e-005 

#########################################

#### RESULT packet 2 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,7
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5788800716e-001 
302,PIN8 OUT2,1,-4.6564400196e-001 
303,PIN9 OUT3,1,-4.8759898543e-001 
