mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| ft_ftest_results        | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | 2008-11-07 17:49:05 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ftest_stats_samples  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4222124650659839 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ftest_stats_summary  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 5348024557502463 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_hbin                 | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_hbin_stats_samples   | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3377699720527871 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_hbin_stats_summary   | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3377699720527871 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_lot                  | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_lot_hbin             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_lot_sbin             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_metadata_link        | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_metadata_mapping     | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
